ID	ANCESTOR	RELATION
2	1	derivation
8	1	suffixation
12	1	suffixation
18	1	suffixation
24	1	suffixation
28	1	suffixation
36	1	suffixation
42	1	suffixation
3	2	inflection
4	2	inheritance
5	4	inflection
6	4	compound
7	6	inflection
9	8	inflection
10	8	inheritance
11	10	inflection
13	12	inflection
14	12	inheritance
15	14	inflection
16	14	prefixation
17	16	inflection
19	18	inflection
20	18	inheritance
21	20	inflection
22	20	prefixation
23	22	inflection
25	24	inflection
26	24	inheritance
27	26	inflection
29	28	inflection
30	28	inheritance
32	28	derivation
31	30	inflection
33	32	inflection
34	32	inheritance
35	34	inflection
37	36	inflection
38	36	inheritance
39	38	inflection
40	38	compound
41	40	inflection
43	42	inflection
44	42	inheritance
45	44	inflection
47	46	derivation
48	47	inflection
49	47	inheritance
55	47	suffixation
50	49	inflection
51	49	inheritance
52	51	inflection
53	51	compound
909	51	derivation
911	51	derivation
54	53	inflection
56	55	inflection
57	55	inheritance
59	55	inheritance
61	55	inheritance
58	57	inflection
60	59	inflection
62	61	inflection
63	61	derivation
64	63	inflection
65	63	inheritance
66	65	inflection
67	65	derivation
68	67	inflection
70	69	inflection
69	71	derivation
72	71	suffixation
78	71	suffixation
73	72	inflection
74	72	inheritance
75	74	inflection
76	74	inheritance
913	74	derivation
77	76	inflection
79	78	inflection
80	78	inheritance
82	78	suffixation
81	80	inflection
83	82	inflection
84	82	inheritance
85	84	inflection
87	86	derivation
95	86	suffixation
88	87	inflection
89	87	inheritance
90	89	inflection
91	89	analogy
92	91	inflection
93	91	prefixation
94	93	inflection
96	95	inflection
97	95	inheritance
98	97	inflection
100	99	derivation
112	99	derivation
118	99	derivation
132	99	derivation
138	99	suffixation
142	99	suffixation
146	99	suffixation
154	99	suffixation
158	99	suffixation
162	99	suffixation
164	99	derivation
170	99	derivation
178	99	suffixation
101	100	inflection
102	100	inheritance
108	100	inheritance
103	102	inflection
104	102	compound
106	102	prefixation
105	104	inflection
107	106	inflection
109	108	inflection
110	108	inflection
111	108	inflection
113	112	inflection
114	112	inheritance
115	114	inflection
116	114	prefixation
117	116	inflection
119	118	inflection
120	118	inheritance
122	118	suffixation
121	120	inflection
123	122	inflection
124	122	inheritance
128	122	inheritance
125	124	inflection
126	124	compound
127	126	inflection
129	128	inflection
130	128	compound
131	130	inflection
133	132	inflection
134	132	inheritance
135	134	inflection
136	134	prefixation
137	136	inflection
139	138	inflection
140	138	inheritance
141	140	inflection
143	142	inflection
144	142	inheritance
145	144	inflection
147	146	inflection
148	146	inheritance
150	146	inheritance
149	148	inflection
151	150	inflection
152	150	compound
153	152	inflection
155	154	inflection
156	154	inheritance
157	156	inflection
159	158	inflection
160	158	inheritance
161	160	inflection
163	162	inflection
165	164	inflection
166	164	inheritance
168	164	inheritance
167	166	inflection
169	168	inflection
171	170	inflection
172	170	inheritance
173	172	inflection
174	172	prefixation
176	172	prefixation
175	174	inflection
177	176	inflection
179	178	inflection
180	178	inheritance
181	180	inflection
183	182	derivation
189	182	derivation
195	182	derivation
201	182	suffixation
205	182	derivation
211	182	suffixation
215	182	suffixation
219	182	derivation
225	182	derivation
229	182	derivation
233	182	derivation
242	182	derivation
899	182	derivation
915	182	derivation
184	183	inflection
185	183	inheritance
186	185	inflection
187	185	compound
188	187	inflection
190	189	inflection
191	189	inheritance
192	191	inflection
193	191	compound
194	193	inflection
196	195	inflection
197	195	inheritance
198	197	inflection
199	197	analogy
200	199	inflection
202	201	inflection
203	201	inheritance
204	203	inflection
206	205	inflection
207	205	inheritance
208	207	inflection
209	207	prefixation
210	209	inflection
212	211	inflection
955	211	inheritance
216	215	inflection
217	215	inheritance
218	217	inflection
220	219	inflection
221	219	inheritance
222	221	inflection
224	223	inflection
226	225	inflection
227	225	inheritance
228	227	inflection
230	229	inflection
938	229	inheritance
234	233	inflection
235	233	inheritance
236	235	inflection
237	235	inflection
239	235	inheritance
238	239	inflection
241	239	inflection
897	239	analogy
243	242	inflection
244	242	inheritance
249	242	inheritance
245	244	inflection
250	249	inflection
252	251	suffixation
256	251	derivation
260	251	suffixation
265	251	suffixation
277	251	derivation
281	251	suffixation
287	251	derivation
295	251	derivation
253	252	inflection
254	252	inheritance
255	254	inflection
257	256	inflection
258	256	inheritance
259	258	inflection
261	260	inflection
262	260	inheritance
263	262	inflection
264	262	syntax
266	265	inflection
267	265	inheritance
275	265	inheritance
