ID	ANCESTOR	RELATION
268	267	inflection
271	267	prefixation
273	267	prefixation
270	269	inflection
269	271	derivation
272	271	inflection
274	273	inflection
276	275	inflection
278	277	inflection
279	277	inheritance
280	279	inflection
282	281	inflection
283	281	inheritance
285	281	inheritance
284	283	inflection
286	285	inflection
288	287	inflection
289	287	inheritance
290	289	inflection
291	289	inheritance
292	291	inflection
293	291	derivation
294	293	inflection
296	295	inflection
297	295	inheritance
943	295	inheritance
298	297	inflection
302	301	inflection
304	303	derivation
308	303	derivation
314	303	derivation
323	303	suffixation
329	303	suffixation
338	303	suffixation
344	303	derivation
351	303	derivation
357	303	derivation
305	304	inflection
306	304	inheritance
307	306	inflection
309	308	inflection
310	308	inheritance
312	308	inheritance
311	310	inflection
313	312	inflection
315	314	inflection
316	314	inheritance
318	314	inheritance
320	314	inheritance
317	316	inflection
319	318	inflection
321	320	inflection
322	320	derivation
916	322	inflection
324	323	inflection
325	323	inheritance
326	325	inflection
327	325	analogy
328	327	inflection
330	329	inflection
331	329	inflection
332	329	inheritance
337	329	inheritance
333	332	inflection
335	334	inflection
334	337	analogy
336	337	inflection
339	338	inflection
340	338	inheritance
476	338	inheritance
341	340	inflection
343	342	inflection
345	344	inflection
346	344	inflection
347	344	inheritance
348	347	inflection
349	347	derivation
350	349	inflection
352	351	inflection
353	351	inheritance
354	353	inflection
355	353	compound
356	355	inflection
358	357	inflection
359	357	inheritance
360	359	inflection
362	361	derivation
368	361	derivation
372	361	derivation
377	361	derivation
384	361	derivation
400	361	derivation
414	361	derivation
424	361	suffixation
432	361	suffixation
442	361	derivation
446	361	suffixation
450	361	suffixation
458	361	suffixation
470	361	suffixation
478	361	derivation
505	361	derivation
511	361	suffixation
521	361	suffixation
535	361	suffixation
536	361	derivation
543	361	suffixation
547	361	suffixation
553	361	suffixation
565	361	derivation
571	361	derivation
587	361	derivation
613	361	derivation
620	361	derivation
628	361	derivation
634	361	derivation
640	361	derivation
646	361	derivation
663	361	derivation
667	361	derivation
680	361	suffixation
695	361	derivation
699	361	suffixation
703	361	derivation
707	361	suffixation
713	361	suffixation
917	361	derivation
918	361	suffixation
922	361	derivation
923	361	suffixation
926	361	derivation
930	361	derivation
363	362	inflection
364	362	inheritance
366	362	inheritance
365	364	inflection
367	366	inflection
369	368	inflection
370	368	inheritance
371	370	inflection
373	372	inflection
374	372	inheritance
375	374	inflection
378	377	inflection
379	377	inheritance
380	379	inflection
382	381	inflection
385	384	inflection
386	384	inheritance
390	384	inheritance
402	384	compound
410	384	compound
387	386	inflection
388	386	compound
389	388	inflection
391	390	inflection
392	390	prefixation
394	390	prefixation
393	392	inflection
395	394	inflection
397	396	inflection
398	396	prefixation
399	398	inflection
396	400	inheritance
401	400	inflection
403	402	inflection
404	402	inheritance
405	404	inflection
406	404	inheritance
408	404	inheritance
407	406	inflection
409	408	inflection
411	410	inflection
412	410	inheritance
957	412	inflection
958	412	reanalysis
415	414	inflection
416	414	inheritance
417	416	inflection
418	416	compound
420	416	compound
422	416	prefixation
419	418	inflection
421	420	inflection
423	422	inflection
425	424	inflection
426	424	inheritance
427	426	inflection
428	426	inheritance
429	428	inflection
430	428	compound
431	430	inflection
433	432	inflection
434	432	inheritance
438	432	suffixation
901	432	inheritance
435	434	inflection
902	436	inflection
439	438	inflection
440	438	inheritance
441	440	inflection
443	442	inflection
444	442	inheritance
445	444	inflection
447	446	inflection
448	446	inheritance
449	448	inflection
451	450	inflection
452	450	inheritance
454	450	derivation
453	452	inflection
455	454	inflection
456	454	inheritance
457	456	inflection
459	458	inflection
460	458	inheritance
464	458	inheritance
461	460	inflection
462	460	prefixation
463	462	inflection
465	464	inflection
466	464	prefixation
468	464	prefixation
467	466	inflection
469	468	inflection
471	470	inflection
472	470	inheritance
473	472	inflection
474	472	compound
475	474	inflection
342	476	analogy
477	476	inflection
479	478	inflection
486	478	inheritance
499	478	inheritance
501	478	inflection
903	478	inheritance
481	480	inflection
482	480	prefixation
484	480	compound
904	480	inflection
483	482	inflection
485	484	inflection
487	486	inflection
488	486	reanalysis
492	486	reanalysis
906	486	inflection
907	486	inflection
489	488	inflection
491	490	inflection
490	492	analogy
494	493	inflection
495	493	inheritance
496	495	inflection
497	495	prefixation
498	497	inflection
493	499	analogy
500	499	inflection
502	499	inflection
506	505	inflection
507	505	inheritance
508	507	inflection
509	507	derivation
510	509	inflection
513	511	inflection
519	511	inheritance
518	517	inflection
520	519	inflection
522	521	inflection
523	521	inheritance
529	521	inflection
531	521	inheritance
949	521	inheritance
524	523	inflection
525	523	prefixation
527	523	compound
526	525	inflection
528	527	inflection
532	531	inflection
533	531	prefixation
534	533	inflection
894	533	inflection
537	535	inflection
538	536	inflection
539	536	inheritance
540	539	inflection
541	539	compound
542	541	inflection
544	543	inflection
545	543	inheritance
546	545	inflection
548	547	inflection
577	547	inheritance
550	549	inflection
551	549	inheritance
552	551	inflection
928	551	derivation
554	553	inflection
555	553	inheritance
556	555	inflection
557	555	inheritance
558	557	inflection
559	557	compound
561	557	prefixation
563	557	prefixation
560	559	inflection
562	561	inflection
564	563	inflection
566	565	inflection
567	565	inheritance
568	567	inflection
569	567	inheritance
570	569	inflection
572	571	inflection
581	571	inheritance
583	571	inflection
585	571	inheritance
574	573	inflection
575	573	prefixation
576	575	inflection
549	577	derivation
578	577	inflection
580	579	inflection
573	581	analogy
579	581	analogy
582	581	inflection
584	581	inflection
586	585	inflection
588	587	inflection
589	587	inheritance
593	587	inheritance
601	587	inheritance
607	587	inheritance
590	589	inflection
591	589	compound
592	591	inflection
594	593	inflection
597	593	compound
599	593	compound
598	597	inflection
600	599	inflection
602	601	inflection
603	601	compound
605	601	compound
604	603	inflection
606	605	inflection
608	607	inflection
609	607	inheritance
610	609	inflection
611	609	compound
924	609	compound
612	611	inflection
614	613	inflection
615	613	inheritance
618	613	inheritance
616	615	inflection
619	618	inflection
621	620	inflection
622	620	inheritance
624	620	inheritance
623	622	inflection
625	624	inflection
626	624	inheritance
627	626	inflection
629	628	inflection
630	628	inheritance
631	630	inflection
632	630	prefixation
633	632	inflection
635	634	inflection
637	634	inheritance
638	637	inflection
641	640	inflection
642	640	inheritance
643	642	inflection
644	642	inheritance
645	644	inflection
647	646	inflection
648	646	inheritance
650	646	inheritance
649	648	inflection
651	650	inflection
652	650	inheritance
653	652	inflection
654	652	compound
655	654	inflection
658	657	inflection
659	657	inheritance
660	659	inflection
661	659	prefixation
662	661	inflection
664	663	inflection
665	663	inheritance
666	665	inflection
668	667	inflection
669	667	inheritance
670	669	inflection
671	669	prefixation
673	669	prefixation
672	671	inflection
674	673	inflection
677	676	inflection
676	678	analogy
679	678	inflection
681	680	inflection
682	680	inheritance
683	682	inflection
684	682	prefixation
686	682	prefixation
685	684	inflection
687	686	inflection
690	689	inflection
691	689	inheritance
692	691	inflection
694	693	inflection
696	695	inflection
697	695	inheritance
698	697	inflection
700	699	inflection
701	699	inheritance
702	701	inflection
704	703	inflection
705	703	inheritance
706	705	inflection
895	705	prefixation
708	707	inflection
709	707	inheritance
711	707	inheritance
710	709	inflection
712	711	inflection
714	713	inflection
715	713	inheritance
716	715	inflection
718	717	derivation
724	717	suffixation
730	717	suffixation
738	717	suffixation
742	717	derivation
743	717	derivation
756	717	derivation
719	718	inflection
720	718	inheritance
721	720	inflection
722	720	inheritance
723	722	inflection
725	724	inflection
726	724	inheritance
727	726	inflection
728	726	inheritance
729	728	inflection
731	730	inflection
732	730	inheritance
733	732	inflection
734	732	compound
736	732	compound
735	734	inflection
737	736	inflection
739	738	inflection
740	738	inheritance
741	740	inflection
744	742	inflection
745	743	inflection
746	743	inheritance
748	743	derivation
747	746	inflection
749	748	inflection
750	748	inheritance
752	748	inheritance
751	750	inflection
753	752	inflection
931	752	inflection
932	752	inheritance
755	754	inflection
757	756	inflection
758	756	inheritance
759	758	inflection
892	758	prefixation
764	760	derivation
778	760	suffixation
784	760	suffixation
792	760	suffixation
797	760	derivation
801	760	derivation
807	760	derivation
813	760	suffixation
919	760	suffixation
937	760	derivation
763	762	inflection
765	764	inflection
766	764	inheritance
908	764	derivation
767	766	inflection
768	766	prefixation
770	766	compound
769	768	inflection
771	770	inflection
773	772	inflection
775	774	inflection
777	776	inflection
779	778	inflection
780	778	inheritance
781	780	inflection
783	782	inflection
785	784	inflection
786	784	inheritance
787	786	inflection
788	786	inheritance
790	786	inheritance
789	788	inflection
791	790	inflection
793	792	inflection
794	792	inflection
795	792	inheritance
796	795	inflection
798	797	inflection
799	797	inheritance
800	799	inflection
802	801	inflection
803	801	inheritance
804	803	inflection
805	803	inheritance
806	805	inflection
808	807	inflection
809	807	inheritance
810	809	inflection
811	809	inheritance
812	811	inflection
814	813	inflection
815	813	inheritance
816	815	inflection
818	817	derivation
824	817	derivation
833	817	derivation
839	817	suffixation
843	817	suffixation
847	817	suffixation
851	817	derivation
855	817	derivation
861	817	suffixation
865	817	suffixation
871	817	suffixation
875	817	derivation
879	817	derivation
819	818	inflection
820	818	inheritance
821	820	inflection
822	820	compound
823	822	inflection
825	824	inflection
826	824	inflection
827	824	inheritance
829	824	inheritance
828	827	inflection
830	829	inflection
831	829	prefixation
832	831	inflection
834	833	inflection
835	833	inheritance
836	835	inflection
837	835	prefixation
838	837	inflection
840	839	inflection
841	839	inheritance
842	841	inflection
844	843	inflection
845	843	inheritance
846	845	inflection
848	847	inflection
849	847	inheritance
850	849	inflection
852	851	inflection
853	851	inheritance
854	853	inflection
856	855	inflection
857	855	inheritance
859	855	inheritance
858	857	inflection
860	859	inflection
862	861	inflection
952	861	inheritance
866	865	inflection
867	865	inheritance
868	867	inflection
869	867	prefixation
870	869	inflection
872	871	inflection
873	871	inheritance
874	873	inflection
876	875	inflection
877	875	inheritance
878	877	inflection
880	879	inflection
881	879	inheritance
885	879	inheritance
882	881	inflection
883	881	prefixation
884	883	inflection
886	885	inflection
887	885	prefixation
888	887	inflection
772	891	derivation
774	891	derivation
776	891	suffixation
890	891	inflection
893	892	inflection
896	895	inflection
240	897	inflection
898	897	inflection
900	899	inflection
940	899	inheritance
436	901	derivation
437	901	inflection
480	903	derivation
503	903	inflection
504	903	inflection
889	908	inflection
891	908	inheritance
910	909	inflection
912	911	inflection
914	913	inflection
223	915	inheritance
921	915	inflection
381	917	inheritance
383	917	inflection
688	918	inflection
689	918	inheritance
782	919	inheritance
920	919	inflection
656	922	inflection
657	922	inheritance
512	923	inflection
946	923	inheritance
925	924	inflection
693	926	inheritance
927	926	inflection
929	928	inflection
675	930	inflection
678	930	inheritance
754	932	derivation
933	932	inflection
761	937	inflection
762	937	inheritance
231	938	inflection
939	938	derivation
232	939	inflection
941	940	derivation
942	940	inflection
247	941	inflection
944	943	derivation
945	943	inflection
300	944	inflection
301	944	analogy
947	946	derivation
948	946	inflection
514	947	inflection
516	947	inflection
517	947	prefixation
950	949	derivation
951	949	inflection
530	950	inflection
953	952	derivation
954	952	inflection
864	953	inflection
934	955	inflection
956	955	derivation
214	956	inflection
413	958	inflection
