Grapheme	IPA
a	a
ā	aː
ae	ai̯
au̯	au̯
b	b
c	k
ch	kʰ
d	d
e	ɛ
ē	eː
ei	e
eu	eu̯
f	f
g	g
h	h
i	ɪ
ī	iː
k	k
l	l
m	m
n	n
o	ɔ
ō	oː
p	p
ph	pʰ
qu	kʷ
r	ɾ
s	s
t	t
th	tʰ
u	ʊ
ū	uː
v	w
x	ks
y	ʏ
z	z
ss	sː
i̯	j
u̯	w
iu	j ʊ
iū	j uː
cc	kː
^	NULL
$	NULL
-	NULL
(	NULL
)	NULL
*	NULL
